Species,Symbol,Ensembl,Family,Protein,Entrez.ID,updated_Entrez
Gallus_gallus,LOC112530730,ENSGALG00000046365,GCFC,ENSGALP00000059244;,-,112530730
Gallus_gallus,LOC112530730,ENSGALG00000046078,GCFC,ENSGALP00000062842;,-,112530730
Gallus_gallus,LOC112530730,ENSGALG00000044121,GCFC,ENSGALP00000061485;,-,112530730
Gallus_gallus,LOC112530730 ,ENSGALG00000044143,GCFC,ENSGALP00000059254;,112530730,112530730
Gallus_gallus,LOC112530730 ,ENSGALG00000045442,GCFC,ENSGALP00000060882;,-,112530730
Gallus_gallus,LOC112530730 ,ENSGALG00000044152,GCFC,ENSGALP00000064336;,-,112530730
Gallus_gallus,LOC112530730 ,ENSGALG00000035944,GCFC,ENSGALP00000063238;,-,112530730
Gallus_gallus,LOC112530730 ,ENSGALG00000046351,GCFC,ENSGALP00000060959;,-,112530730
Gallus_gallus,LOC112530730 ,ENSGALG00000045844,GCFC,ENSGALP00000063805;,-,112530730
Gallus_gallus,LOC112530730 ,ENSGALG00000045667,GCFC,ENSGALP00000063773;ENSGALP00000061630;,-,112530730
Gallus_gallus,LOC112530730 ,ENSGALG00000044677,GCFC,ENSGALP00000063244;,-,112530730
Gallus_gallus,LOC112530730 ,ENSGALG00000046220,GCFC,ENSGALP00000058931;,-,112530730
Gallus_gallus,LOC112530730 ,ENSGALG00000045800,GCFC,ENSGALP00000059963;,-,112530730
Gallus_gallus,LOC112530730 ,ENSGALG00000045250,GCFC,ENSGALP00000064291;,-,112530730
Gallus_gallus,LOC112530730 ,ENSGALG00000044736,GCFC,ENSGALP00000058624;,-,112530730
Gallus_gallus,LOC112530730 ,ENSGALG00000044552,GCFC,ENSGALP00000063717;,-,112530730
Gallus_gallus,LOC112530730 ,ENSGALG00000046168,GCFC,ENSGALP00000062284;,-,112530730
Gallus_gallus,LOC112530730 ,ENSGALG00000046380,GCFC,ENSGALP00000063930;,-,112530730
Gallus_gallus,LOC112530730 ,ENSGALG00000045927,GCFC,ENSGALP00000060792;,-,112530730
Gallus_gallus,LOC112530730 ,ENSGALG00000045708,GCFC,ENSGALP00000062173;,-,112530730
Gallus_gallus,LOC112530730 ,ENSGALG00000045328,GCFC,ENSGALP00000063348;ENSGALP00000063609;,-,112530730
Gallus_gallus,LOC112530730 ,ENSGALG00000043940,GCFC,ENSGALP00000062020;,-,112530730
Gallus_gallus,LOC112530730 ,ENSGALG00000023044,GCFC,ENSGALP00000060212;,-,112530730
Gallus_gallus,LOC112530730 ,ENSGALG00000046530,GCFC,ENSGALP00000060664;,-,112530730
Gallus_gallus,LOC112530730 ,ENSGALG00000044812,GCFC,ENSGALP00000063391;,-,112530730
Gallus_gallus,LOC112531015,ENSGALG00000040722,zf-C2H2,ENSGALP00000055988;,-,112531015
Gallus_gallus,LOC112531015 ,ENSGALG00000037821,zf-C2H2,ENSGALP00000047199;,-,112531015
Gallus_gallus,LOC112531016 ,ENSGALG00000032020,zf-C2H2,ENSGALP00000048582;,-,112531016
Gallus_gallus,LOC112531017,ENSGALG00000044369,zf-C2H2,ENSGALP00000060229;,-,112531017
Gallus_gallus,LOC112531017 ,ENSGALG00000043987,zf-C2H2,ENSGALP00000062263;,-,112531017
Gallus_gallus,LOC112531017 ,ENSGALG00000044764,zf-C2H2,ENSGALP00000060557;,-,112531017
Gallus_gallus,LOC112531021,ENSGALG00000030491,zf-C2H2,ENSGALP00000057302;,-,112531021
Gallus_gallus,LOC112531021,ENSGALG00000035556,zf-C2H2,ENSGALP00000057249;,112531021,112531021
Gallus_gallus,LOC112531021 ,ENSGALG00000035174,zf-C2H2,ENSGALP00000052228;,-,112531021
Gallus_gallus,LOC112531021 ,ENSGALG00000030912,zf-C2H2,ENSGALP00000053971;,-,112531021
Gallus_gallus,LOC112531021 ,ENSGALG00000036408,zf-C2H2,ENSGALP00000053497;,-,112531021
Gallus_gallus,LOC112531021 ,ENSGALG00000031241,zf-C2H2,ENSGALP00000051540;,-,112531021
Gallus_gallus,LOC112531024 ,ENSGALG00000039402,zf-C2H2,ENSGALP00000047979;,-,112531024
Gallus_gallus,LOC112531024 ,ENSGALG00000037921,zf-C2H2,ENSGALP00000052180;,-,112531024
Gallus_gallus,LOC112531026 ,ENSGALG00000043948,zf-C2H2,ENSGALP00000061804;,-,112531026
Gallus_gallus,LOC112531035 ,ENSGALG00000044202,zf-C2H2,ENSGALP00000063937;,-,112531035
Gallus_gallus,LOC112531056 ,ENSGALG00000042066,zf-C2H2,ENSGALP00000048026;,-,112531056
Gallus_gallus,LOC112531061 ,ENSGALG00000045095,zf-C2H2,ENSGALP00000061210;,-,112531061
Gallus_gallus,LOC112531061 ,ENSGALG00000045147,zf-C2H2,ENSGALP00000063968;,-,112531061
Gallus_gallus,LOC112531237,ENSGALG00000045309,zf-C2H2,ENSGALP00000064151;,-,112531237
Gallus_gallus,LOC112531237,ENSGALG00000045766,zf-C2H2,ENSGALP00000060173;,-,112531237
Gallus_gallus,LOC112531237,ENSGALG00000045945,zf-C2H2,ENSGALP00000059517;,-,112531237
Gallus_gallus,LOC112531237,ENSGALG00000045803,zf-C2H2,ENSGALP00000061789;ENSGALP00000061702;,-,112531237
Gallus_gallus,LOC112531237 ,ENSGALG00000046336,zf-C2H2,ENSGALP00000061531;,112531237,112531237
Gallus_gallus,LOC112531237 ,ENSGALG00000046582,zf-C2H2,ENSGALP00000058635;,-,112531237
Gallus_gallus,LOC112531237 ,ENSGALG00000046202,zf-C2H2,ENSGALP00000059041;,-,112531237
Gallus_gallus,LOC112531237 ,ENSGALG00000046010,zf-C2H2,ENSGALP00000059908;,-,112531237
Gallus_gallus,LOC112531242 ,ENSGALG00000043157,zf-C2H2,ENSGALP00000047876;,-,112531242
Gallus_gallus,LOC418222,ENSGALG00000019262,HSF,ENSGALP00000029878;,-,418222
Gallus_gallus,LOC418222 ,ENSGALG00000028720,HSF,ENSGALP00000041625;,-,418222
Gallus_gallus,LOC425347,ENSGALG00000045359,zf-C2H2,ENSGALP00000062167;,-,425347
Gallus_gallus,LOC425347 ,ENSGALG00000044781,zf-C2H2,ENSGALP00000059921;,-,425347
Gallus_gallus,LOC425347 ,ENSGALG00000031655,zf-C2H2,ENSGALP00000050018;,-,425347
Gallus_gallus,LOC426821 ,ENSGALG00000045943,zf-C2H2,ENSGALP00000060213;,-,426821
Gallus_gallus,LOC427656,ENSGALG00000024294,Fork_head,ENSGALP00000040250;,-,427656
Gallus_gallus,LOC770141,ENSGALG00000041930,TF_bZIP,ENSGALP00000054899;,-,770141
Gallus_gallus,LOC777082,ENSGALG00000035639,Miscellaneous,ENSGALP00000056403;,-,777082
Gallus_gallus,LRRFIP1 ,ENSGALG00000042117,LRRFIP,ENSGALP00000054156;,-,428996
Gallus_gallus,LRRFIP2,ENSGALG00000033102,LRRFIP,ENSGALP00000046454;ENSGALP00000049077;,420759,420759
Gallus_gallus,LYAR,ENSGALG00000015000,Others,-,422846,422846
Gallus_gallus,MAF,ENSGALG00000026258,TF_bZIP,ENSGALP00000041121;,693248,693248
Gallus_gallus,MAF1,ENSGALG00000032777,Others,-,100857613,100857613
Gallus_gallus,MAFA,ENSGALG00000026264,TF_bZIP,ENSGALP00000042973;,395881,395881
Gallus_gallus,MAFB,ENSGALG00000032340,TF_bZIP,ENSGALP00000052526;,-,419173
Gallus_gallus,MAFB,ENSGALG00000003670,TF_bZIP,ENSGALP00000055757;,419173,419173
Gallus_gallus,MAFF,ENSGALG00000034998,TF_bZIP,ENSGALP00000057371;,-,395519
Gallus_gallus,MAFF,ENSGALG00000012277,TF_bZIP,ENSGALP00000020036;,395519,395519
Gallus_gallus,MAFG,ENSGALG00000031475,TF_bZIP,ENSGALP00000052002;,769355,769355
Gallus_gallus,MAFK,ENSGALG00000004189,TF_bZIP,ENSGALP00000046925;ENSGALP00000006645;,395518,395518
Gallus_gallus,MAX,ENSGALG00000032249,bHLH,ENSGALP00000057649;,-,100858676
Gallus_gallus,MBD3,ENSGALG00000001101,MBD,ENSGALP00000053741;ENSGALP00000050254;,770153,770153
Gallus_gallus,MECOM,ENSGALG00000032577,zf-C2H2,ENSGALP00000054583;ENSGALP00000049251;,424997,424997
Gallus_gallus,MEF2A,ENSGALG00000032366,SRF,ENSGALP00000050266;,395670,395670
Gallus_gallus,MEF2C,ENSGALG00000014645,SRF,ENSGALP00000047600;ENSGALP00000051990;ENSGALP00000023559;ENSGALP00000054416;,769007,769007
Gallus_gallus,MEF2D,ENSGALG00000037787,SRF,ENSGALP00000050527;ENSGALP00000058572;ENSGALP00000060363;ENSGALP00000053437;ENSGALP00000045472;,431059,431059
Gallus_gallus,MEIS1,ENSGALG00000041626,Homeobox,ENSGALP00000045250;ENSGALP00000050715;,395589,395589
Gallus_gallus,MEIS2,ENSGALG00000039118,Homeobox,ENSGALP00000058366;ENSGALP00000048750;,395588,395588
Gallus_gallus,MEOX1,ENSGALG00000001191,Homeobox,ENSGALP00000001804;,395533,395533
Gallus_gallus,MEOX2,ENSGALG00000010794,Homeobox,ENSGALP00000017534;,374137,374137
Gallus_gallus,MESP1,ENSGALG00000026467,bHLH,ENSGALP00000041251;,395252,395252
Gallus_gallus,MGA ,ENSGALG00000031456,T-box,ENSGALP00000048943;,-,423220
Gallus_gallus,MIER1,ENSGALG00000011118,MYB,ENSGALP00000043276;ENSGALP00000018090;,424702,424702
Gallus_gallus,MITF,ENSGALG00000039583,bHLH,ENSGALP00000044345;ENSGALP00000045630;,395886,395886
Gallus_gallus,MIXL1,ENSGALG00000033786,Homeobox,ENSGALP00000053126;,395838,395838
Gallus_gallus,MKX,ENSGALG00000007426,Homeobox,ENSGALP00000051062;ENSGALP00000062280;ENSGALP00000012003;,771284,771284
Gallus_gallus,MLLT10,ENSGALG00000007928,Others,-,420509,420509
Gallus_gallus,MLX,ENSGALG00000003199,bHLH,ENSGALP00000005059;,420026,420026
Gallus_gallus,MLXIP,ENSGALG00000004397,bHLH,ENSGALP00000006999;,416857,416857
Gallus_gallus,MLXIPL,ENSGALG00000034960,bHLH,ENSGALP00000048395;ENSGALP00000047840;ENSGALP00000062577;ENSGALP00000052293;,101751014,101751014
Gallus_gallus,MNT,ENSGALG00000005830,bHLH,ENSGALP00000009348;,427840,427840
Gallus_gallus,MNX1,ENSGALG00000041154,Homeobox,ENSGALP00000056537;,395768,395768
Gallus_gallus,MSC,ENSGALG00000037777,bHLH,ENSGALP00000056028;,420179,420179
Gallus_gallus,MSGN1,ENSGALG00000016469,bHLH,ENSGALP00000026522;,395419,395419
Gallus_gallus,MSX1,ENSGALG00000015013,Homeobox,ENSGALP00000024163;ENSGALP00000057277;,396484,396484
Gallus_gallus,MSX2,ENSGALG00000038848,Homeobox,ENSGALP00000059847;ENSGALP00000046638;,395245,395245
Gallus_gallus,MTA1,ENSGALG00000002803,zf-GATA,ENSGALP00000057894;ENSGALP00000055048;ENSGALP00000004425;,429060,429060
Gallus_gallus,MTA2,ENSGALG00000030998,MYB,ENSGALP00000053934;,-,101747888
Gallus_gallus,MTA3,ENSGALG00000009925,zf-GATA,ENSGALP00000049693;ENSGALP00000016118;ENSGALP00000060248;,421395,421395
Gallus_gallus,MTF1,ENSGALG00000001639,zf-C2H2,ENSGALP00000002501;,428218,428218
Gallus_gallus,MXD1,ENSGALG00000013882,bHLH,ENSGALP00000022471;,426299,426299
Gallus_gallus,MXD4,ENSGALG00000015688,bHLH,ENSGALP00000025256;ENSGALP00000044498;,422890,422890
Gallus_gallus,MXI1,ENSGALG00000008555,bHLH,ENSGALP00000013919;,423888,423888
Gallus_gallus,MYB,ENSGALG00000013956,MYB,ENSGALP00000047691;ENSGALP00000022584;ENSGALP00000046212;,396244,396244
Gallus_gallus,MYBL1,ENSGALG00000033304,MYB,ENSGALP00000063866;ENSGALP00000046111;ENSGALP00000044411;,396158,396158
Gallus_gallus,MYBL2,ENSGALG00000003503,MYB,ENSGALP00000046271;ENSGALP00000005531;,396258,396258
Gallus_gallus,MYC,ENSGALG00000033631,bHLH,ENSGALP00000054503;,420332,420332
Gallus_gallus,MYCL,ENSGALG00000024047,bHLH,ENSGALP00000039774;,428231,428231
Gallus_gallus,MYCN,ENSGALG00000016462,bHLH,ENSGALP00000036097;,421948,421948
Gallus_gallus,MYEF2,ENSGALG00000032546,Others,-,415432,415432
Gallus_gallus,MYF5,ENSGALG00000028091,bHLH,ENSGALP00000043455;,395633,395633
Gallus_gallus,MYF6,ENSGALG00000010936,bHLH,ENSGALP00000030023;,417873,417873
Gallus_gallus,MYNN,ENSGALG00000009409,ZBTB,ENSGALP00000015312;ENSGALP00000015312;,771218,771218
Gallus_gallus,MYOD1,ENSGALG00000006216,bHLH,ENSGALP00000038684;ENSGALP00000062807;,374048,374048
Gallus_gallus,MYOG,ENSGALG00000000172,bHLH,ENSGALP00000039912;,374004,374004
Gallus_gallus,MYRF,ENSGALG00000041253,NDT80/PhoG,ENSGALP00000056340;ENSGALP00000046433;ENSGALP00000050648;ENSGALP00000051116;,-,422966
Gallus_gallus,MYRFL,ENSGALG00000019352,NDT80/PhoG,ENSGALP00000016285;,100858458,100858458
Gallus_gallus,MYSM1,ENSGALG00000010869,MYB,ENSGALP00000037248;,424671,424671
Gallus_gallus,MYT1,ENSGALG00000005932,zf-C2HC,ENSGALP00000056802;ENSGALP00000051708;ENSGALP00000054267;ENSGALP00000009531;,419249,419249
Gallus_gallus,MYT1L,ENSGALG00000016384,zf-C2HC,ENSGALP00000026378;,421915,421915
Gallus_gallus,NANOG,ENSGALG00000027772,Homeobox,ENSGALP00000043037;,100272166,100272166
Gallus_gallus,NCOA1,ENSGALG00000016617,bHLH,ENSGALP00000026768;ENSGALP00000026767;ENSGALP00000050346;,422016,422016
Gallus_gallus,NCOA3,ENSGALG00000004570,bHLH,ENSGALP00000007263;,419208,419208
Gallus_gallus,NCOR1,ENSGALG00000004477,MYB,ENSGALP00000056807;ENSGALP00000007118;,417598,417598
Gallus_gallus,NCOR2,ENSGALG00000003120,MYB,ENSGALP00000004924;,416815,416815
Gallus_gallus,NEUROD1,ENSGALG00000008908,bHLH,ENSGALP00000014468;,395754,395754
Gallus_gallus,NEUROD2,ENSGALG00000039633,bHLH,ENSGALP00000049753;,-,100859203
Gallus_gallus,NEUROD4,ENSGALG00000034306,bHLH,ENSGALP00000054770;,395959,395959
Gallus_gallus,NEUROG1,ENSGALG00000029692,bHLH,ENSGALP00000057908;,395699,395699
Gallus_gallus,NEUROG3,ENSGALG00000034810,bHLH,ENSGALP00000045575;,-,100858174
Gallus_gallus,NFAT5,ENSGALG00000039300,RHD,ENSGALP00000060297;ENSGALP00000043491;,415866,415866
Gallus_gallus,NFATC1,ENSGALG00000042534,RHD,ENSGALP00000052456;ENSGALP00000047254;ENSGALP00000054403;,420815,420815
Gallus_gallus,NFATC2,ENSGALG00000007963,RHD,ENSGALP00000052605;ENSGALP00000012917;,419346,419346
Gallus_gallus,NFATC3,ENSGALG00000003396,RHD,ENSGALP00000045412;ENSGALP00000049128;ENSGALP00000005357;,415712,415711
Gallus_gallus,NFE2L1,ENSGALG00000011937,TF_bZIP,ENSGALP00000035379;ENSGALP00000050038;ENSGALP00000051255;,417987,417987
Gallus_gallus,NFE2L2,ENSGALG00000009240,TF_bZIP,ENSGALP00000032649;,396014,396014
Gallus_gallus,NFIA,ENSGALG00000010924,CTF/NFI,ENSGALP00000064438;ENSGALP00000061058;ENSGALP00000061062;ENSGALP00000059339;ENSGALP00000017752;ENSGALP00000064548;ENSGALP00000037223;,396210,396210
Gallus_gallus,NFIB,ENSGALG00000005441,CTF/NFI,ENSGALP00000051564;ENSGALP00000055038;ENSGALP00000044762;ENSGALP00000052519;ENSGALP00000008721;ENSGALP00000045896;,396209,396209
Gallus_gallus,NFIC,ENSGALG00000041643,CTF/NFI,ENSGALP00000061240;ENSGALP00000046060;ENSGALP00000058595;ENSGALP00000051626;ENSGALP00000049611;,396208,396208
Gallus_gallus,NFIL3,ENSGALG00000015209,TF_bZIP,ENSGALP00000024495;,395326,395326
Gallus_gallus,NFIX,ENSGALG00000041630,CTF/NFI,ENSGALP00000052524;ENSGALP00000053703;ENSGALP00000052432;,396207,396207
Gallus_gallus,NFKB1,ENSGALG00000012304,RHD,ENSGALP00000036814;ENSGALP00000060090;,396033,396033
Gallus_gallus,NFKB2,ENSGALG00000005653,RHD,ENSGALP00000009054;ENSGALP00000046812;ENSGALP00000062848;ENSGALP00000042025;,386574,386574
Gallus_gallus,NFRKB,ENSGALG00000001306,Others,-,419730,419730
Gallus_gallus,NFX1,ENSGALG00000043724,zf-NF-X1,ENSGALP00000048993;,420796,420796
Gallus_gallus,NFXL1,ENSGALG00000014138,zf-NF-X1,ENSGALP00000022832;,100859761,100859761
Gallus_gallus,NFYA,ENSGALG00000003247,NF-YA,ENSGALP00000005125;,419917,419917
Gallus_gallus,NFYB,ENSGALG00000041193,NF-YB,ENSGALP00000050636;ENSGALP00000057619;ENSGALP00000051245;ENSGALP00000056991;ENSGALP00000056060;,396205,396205
Gallus_gallus,NFYC,ENSGALG00000003189,NF-YC,ENSGALP00000034390;ENSGALP00000056164;ENSGALP00000057574;ENSGALP00000063920;ENSGALP00000058126;ENSGALP00000059862;ENSGALP00000048679;ENSGALP00000059337;ENSGALP00000045029;,419642,419642
Gallus_gallus,NHLH1,ENSGALG00000025817,bHLH,ENSGALP00000041829;,373910,373910
Gallus_gallus,NKRF,ENSGALG00000008645,Others,-,422370,422370
Gallus_gallus,NKX1-1,ENSGALG00000035650,Homeobox,ENSGALP00000044989;,-,771636
Gallus_gallus,NKX2-1,ENSGALG00000037632,Homeobox,ENSGALP00000055123;,395322,395322
Gallus_gallus,NKX2-2,ENSGALG00000036869,Homeobox,ENSGALP00000054805;,428549,428549
Gallus_gallus,NKX2-3,ENSGALG00000030932,Homeobox,ENSGALP00000048445;ENSGALP00000047435;,107053698,107053698
Gallus_gallus,NKX2-4,ENSGALG00000035835,Homeobox,ENSGALP00000049097;,-,107052856
Gallus_gallus,NKX2-5,ENSGALG00000002886,Homeobox,ENSGALP00000004542;,396073,396073
Gallus_gallus,NKX2-6,ENSGALG00000000365,Homeobox,ENSGALP00000048780;ENSGALP00000000496;,396037,396037
Gallus_gallus,NKX2-8,ENSGALG00000028483,Homeobox,ENSGALP00000042165;,771397,771397
Gallus_gallus,NKX3-1,ENSGALG00000030601,Homeobox,ENSGALP00000046569;,107057397,107057397
Gallus_gallus,NKX3-2,ENSGALG00000031859,Homeobox,ENSGALP00000053539;ENSGALP00000064633;ENSGALP00000053034;,-,373932
Gallus_gallus,NKX6-1,ENSGALG00000032545,Homeobox,ENSGALP00000057070;,-,395752
Gallus_gallus,NKX6-2,ENSGALG00000010500,Homeobox,ENSGALP00000018279;,395591,395591
Gallus_gallus,NKX6-3,ENSGALG00000018503,Homeobox,ENSGALP00000017079;,431254,431254
Gallus_gallus,NME1,ENSGALG00000007305,Others,-,422094,422094
Gallus_gallus,Not-a-TF,ENSGALG00000044622,GCFC,ENSGALP00000059703;ENSGALP00000060894;,-,NA
Gallus_gallus,Not-a-TF,ENSGALG00000045908,zf-C2H2,ENSGALP00000062728;,-,NA
Gallus_gallus,Not-a-TF,ENSGALG00000042792,zf-C2H2,ENSGALP00000055404;,-,NA
Gallus_gallus,Not-a-TF,ENSGALG00000041074,bHLH,ENSGALP00000053982;,-,NA
Gallus_gallus,Not-a-TF,ENSGALG00000033752,zf-C2H2,ENSGALP00000055409;,-,NA
Gallus_gallus,Not-a-TF,ENSGALG00000031447,Others,-,-,NA
Gallus_gallus,NOTO,ENSGALG00000035981,Homeobox,ENSGALP00000056174;,396302,396302
Gallus_gallus,NPAS2,ENSGALG00000016774,bHLH,ENSGALP00000035797;ENSGALP00000054494;,395433,395433
Gallus_gallus,NPAS3,ENSGALG00000029022,bHLH,ENSGALP00000059132;ENSGALP00000058701;,423315,423315
Gallus_gallus,NR0B1,ENSGALG00000016287,Miscellaneous,ENSGALP00000026210;,395285,395285
Gallus_gallus,NR0B2,ENSGALG00000000887,Miscellaneous,ENSGALP00000001299;ENSGALP00000062492;,768353,768353
Gallus_gallus,NR1D1 ,ENSGALG00000029410,THR-like,ENSGALP00000047800;,-,107055301
Gallus_gallus,NR1D2,ENSGALG00000011291,THR-like,ENSGALP00000030528;ENSGALP00000053258;,396125,396125
Gallus_gallus,NR1H3,ENSGALG00000038059,THR-like,ENSGALP00000055522;,395221,395221
Gallus_gallus,NR1H4,ENSGALG00000011594,THR-like,ENSGALP00000018906;,373902,373902
Gallus_gallus,NR1I3,ENSGALG00000042095,THR-like,ENSGALP00000058227;,395439,395439
Gallus_gallus,NR2C1,ENSGALG00000011327,RXR-like,ENSGALP00000047956;ENSGALP00000018458;,373913,373913
Gallus_gallus,NR2C2,ENSGALG00000008519,RXR-like,ENSGALP00000013860;ENSGALP00000055972;,395253,395253
Gallus_gallus,NR2E1,ENSGALG00000015305,RXR-like,ENSGALP00000036481;,396082,396082
Gallus_gallus,NR2E3,ENSGALG00000002093,RXR-like,ENSGALP00000003259;,395289,395289
Gallus_gallus,NR2F1,ENSGALG00000027907,RXR-like,ENSGALP00000051528;ENSGALP00000033285;,100859519,100859519
Gallus_gallus,NR2F2,ENSGALG00000007000,RXR-like,ENSGALP00000011318;,386585,386585
Gallus_gallus,NR2F6,ENSGALG00000043010,RXR-like,ENSGALP00000044103;,100859014,100859014
Gallus_gallus,NR3C1,ENSGALG00000032992,ESR-like,ENSGALP00000052544;ENSGALP00000055461;,416343,416343
Gallus_gallus,NR3C2,ENSGALG00000010035,ESR-like,ENSGALP00000058137;ENSGALP00000016283;ENSGALP00000047395;,374131,374131
Gallus_gallus,NR4A1,ENSGALG00000043727,NGFIB-like,ENSGALP00000050349;ENSGALP00000052428;,100857380,100857380
Gallus_gallus,NR4A2,ENSGALG00000012538,NGFIB-like,ENSGALP00000045525;ENSGALP00000020451;ENSGALP00000055138;,424320,424320
Gallus_gallus,NR4A3,ENSGALG00000013568,NGFIB-like,ENSGALP00000022048;ENSGALP00000054865;,420996,420996
Gallus_gallus,NR5A1,ENSGALG00000001080,SF-like,ENSGALP00000001614;,395960,395960
Gallus_gallus,NR5A2,ENSGALG00000002182,SF-like,ENSGALP00000003413;ENSGALP00000057283;ENSGALP00000056574;,395961,395961
Gallus_gallus,NR6A1,ENSGALG00000001073,GCNF-like,ENSGALP00000044482;ENSGALP00000050534;ENSGALP00000001605;,772325,772325
Gallus_gallus,NRF1,ENSGALG00000040060,Nrf1,ENSGALP00000052661;,416677,416677
Gallus_gallus,NSD2,ENSGALG00000015705,HMG,ENSGALP00000025281;,422897,422897
Gallus_gallus,OLIG2,ENSGALG00000031010,bHLH,ENSGALP00000047462;,428612,428612
Gallus_gallus,OLIG3,ENSGALG00000013862,bHLH,ENSGALP00000061392;,-,100857919
Gallus_gallus,ONECUT1,ENSGALG00000038618,CUT,ENSGALP00000045331;,107054176,107054176
Gallus_gallus,ONECUT2,ENSGALG00000035751,CUT,ENSGALP00000057415;,100857974,100857974
Gallus_gallus,ONECUT3,ENSGALG00000028081,CUT,ENSGALP00000041186;,100857312,100857312
Gallus_gallus,OSR1,ENSGALG00000016473,zf-C2H2,ENSGALP00000026526;,-,100316920
Gallus_gallus,OSR2,ENSGALG00000037695,zf-C2H2,ENSGALP00000048014;,771523,771523
Gallus_gallus,OTP,ENSGALG00000026744,Homeobox,ENSGALP00000041379;,554220,554220
Gallus_gallus,OTX1,ENSGALG00000028817,TF_Otx,ENSGALP00000041020;,100858585,100858585
Gallus_gallus,OTX2,ENSGALG00000034889,TF_Otx,ENSGALP00000062855;ENSGALP00000045234;,395191,395191
Gallus_gallus,OTX5,ENSGALG00000030325,TF_Otx,ENSGALP00000052706;,-,103875463
Gallus_gallus,OTX5,ENSGALG00000039336,TF_Otx,ENSGALP00000043740;,103875463,103875463
Gallus_gallus,OVOL2,ENSGALG00000008702,zf-C2H2,ENSGALP00000014145;,416720,416720
Gallus_gallus,PATZ1,ENSGALG00000006934,ZBTB,ENSGALP00000056719;ENSGALP00000056719;ENSGALP00000011217;ENSGALP00000011217;ENSGALP00000054212;,416963,416963
Gallus_gallus,PAWR,ENSGALG00000010320,TF_bZIP,ENSGALP00000016783;,417870,417870
Gallus_gallus,PAX1,ENSGALG00000039040,PAX,ENSGALP00000056099;,100859138,100859138
Gallus_gallus,PAX2,ENSGALG00000005689,PAX,ENSGALP00000009110;ENSGALP00000045193;,395574,395574
Gallus_gallus,PAX3,ENSGALG00000030944,Homeobox,ENSGALP00000057906;,374127,374127
Gallus_gallus,PAX5,ENSGALG00000016431,PAX,ENSGALP00000044234;ENSGALP00000026458;ENSGALP00000052485;,387330,387330
Gallus_gallus,PAX6,ENSGALG00000012123,PAX,ENSGALP00000019778;ENSGALP00000049020;ENSGALP00000019777;,395943,395943
Gallus_gallus,PAX7,ENSGALG00000043204,PAX,ENSGALP00000044020;ENSGALP00000047777;ENSGALP00000051441;,395942,395942
Gallus_gallus,PAX9,ENSGALG00000010114,PAX,ENSGALP00000037011;,395740,395740
Gallus_gallus,PAXBP1,ENSGALG00000036833,GCFC,ENSGALP00000058092;,418499,418499
Gallus_gallus,PBRM1,ENSGALG00000037455,HMG,ENSGALP00000045684;ENSGALP00000056952;ENSGALP00000043676;ENSGALP00000052958;,396074,396074
Gallus_gallus,PBX1,ENSGALG00000003429,Homeobox,ENSGALP00000005416;ENSGALP00000021849;,395505,395505
Gallus_gallus,PBX3,ENSGALG00000000972,Homeobox,ENSGALP00000001434;ENSGALP00000055423;ENSGALP00000047186;ENSGALP00000056546;,417093,417093
Gallus_gallus,PBX4,ENSGALG00000034076,Homeobox,ENSGALP00000062788;ENSGALP00000050608;,426087,426087
Gallus_gallus,PDX1,ENSGALG00000038454,Homeobox,ENSGALP00000054383;,771348,771348
Gallus_gallus,PGR,ENSGALG00000017195,ESR-like,ENSGALP00000027736;,396198,396198
Gallus_gallus,PHB,ENSGALG00000038604,Others,-,419980,419980
Gallus_gallus,PHOX2B,ENSGALG00000014250,Homeobox,ENSGALP00000036658;,395548,395548
Gallus_gallus,PHTF1,ENSGALG00000001845,Others,-,419878,419878
Gallus_gallus,PIAS1,ENSGALG00000007970,zf-MIZ,ENSGALP00000045136;ENSGALP00000012927;ENSGALP00000046656;,427514,427514
Gallus_gallus,PIAS2,ENSGALG00000039434,zf-MIZ,ENSGALP00000047788;ENSGALP00000049443;,416383,416383
Gallus_gallus,PIAS4,ENSGALG00000034413,zf-MIZ,ENSGALP00000046826;,420095,420095
Gallus_gallus,PITX1,ENSGALG00000030237,Homeobox,ENSGALP00000054758;ENSGALP00000044159;ENSGALP00000047128;,374201,374201
Gallus_gallus,PITX2,ENSGALG00000042492,Homeobox,ENSGALP00000046615;ENSGALP00000056629;ENSGALP00000046381;ENSGALP00000063986;,395862,395862
Gallus_gallus,PKNOX1,ENSGALG00000016191,Homeobox,ENSGALP00000054360;ENSGALP00000026052;,418542,418542
Gallus_gallus,PKNOX2,ENSGALG00000043103,Homeobox,ENSGALP00000053241;,374067,374067
Gallus_gallus,PLAG1,ENSGALG00000015407,zf-C2H2,ENSGALP00000024806;,429484,429484
Gallus_gallus,PLAGL1,ENSGALG00000013754,zf-C2H2,ENSGALP00000022306;,769676,769676
Gallus_gallus,PLAGL2,ENSGALG00000006586,zf-C2H2,ENSGALP00000010621;,100859766,100859766
Gallus_gallus,PLEK,ENSGALG00000008756,Others,-,395669,395669
Gallus_gallus,PMS1,ENSGALG00000034011,HMG,ENSGALP00000050139;ENSGALP00000058236;ENSGALP00000045614;,423980,423980
Gallus_gallus,POU1F1,ENSGALG00000015495,Pou,ENSGALP00000036048;ENSGALP00000045301;,374215,374215
