# GREAT version 4.0.4	Species assembly: hg38	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
chr2_96890408_96892041	SEMA4C (-21254), FAHD2B (+203614)
chr1_101452643_101453357	S1PR1 (+216112), OLFM3 (+393973)
chr1_4605087_4605566	C1orf174 (-705042), AJAP1 (-49718)
chr17_51439477_51439970	UTP18 (+179196), CA10 (+719003)
chr8_124712033_124712755	MTSS1 (+15879), NDUFB9 (+173291)
chr16_10534850_10535266	EMP2 (+45640), ATF7IP2 (+149003)
chr15_87731600_87731992	NTRK3 (+524935)
chrX_13024951_13025595	FAM9C (+19329), TMSB4X (+50163)
chr13_45396367_45397025	TPT1 (-55412), SLC25A30 (+21684)
chr11_38107635_38108282	NONE
chr13_43179556_43180290	DNAJC15 (+156720), ENOX1 (+606985)
chr2_39631578_39632208	MAP4K3 (-194581), TMEM178A (-34026)
chr1_155305938_155306266	PKLR (-4668), FDPS (-2814)
chr6_143755296_143755750	LTV1 (-87821), PHACTR2 (+77558)
chr2_115269289_115270113	DPP10 (+108099)
chr14_85571831_85572516	FLRT2 (+42030)
chr14_63677717_63678432	PPP2R5E (-134701), SGPP1 (+49964)
chr10_121294539_121295003	FGFR2 (+303632), WDR11 (+443596)
chr1_99439296_99440110	PALMD (-206240), PLPPR4 (+175750)
chr16_77780423_77781008	VAT1L (-7814), NUDT7 (+58202)
chr16_66857105_66857761	PDP2 (-22928), CA7 (+13054)
chr1_68916168_68916950	LRRC7 (-843616), DEPDC1 (-419445)
chr16_77094119_77094688	MON1B (-96515), CNTNAP4 (+817126)
chr16_27678025_27678732	KIAA0556 (+128227), GSG1L (+385130)
chr3_98701189_98701757	CPOX (-107750), ST3GAL6 (-31231)
chr3_3917944_3918829	SETMAR (-384917), LRRN1 (+118950)
chr5_10056119_10056874	TAS2R1 (-426142), FAM173B (+193389)
chrX_24506020_24506417	PDK3 (+40763), PCYT1B (+141017)
chr11_38115123_38116266	NONE
chr2_160510522_160511232	TANK (-649420), RBMS1 (-17083)
chr2_763912_764498	SNTG2 (-186663), TMEM18 (-86766)
chr11_116376194_116377064	CADM1 (-872064), BUD13 (+396359)
chr5_57416196_57416951	ACTBL2 (+66235), GPBP1 (+242626)
chr5_82338649_82339378	ATP6AP1L (+59552), TMEM167A (+738482)
chr16_79793080_79793394	DYNLRB2 (-747497), MAF (-192523)
chr6_23339312_23339943	NRSN1 (-786558)
chr10_64316500_64317028	REEP3 (+795401)
chr12_58364862_58365441	ATP23 (+423575), LRIG3 (+555370)
chr18_4781495_4782198	DLGAP1 (-326512), AKAIN1 (+415656)
chr9_92650760_92651387	ECM2 (-115019), IPPK (+19191)
chr2_137935339_137936006	HNMT (-28637)
chr18_38751831_38752393	NONE
chr9_132717644_132718798	SPACA9 (-159806), DDX31 (-47820)
chr12_5377711_5378523	NTF3 (-53996), KCNA5 (+334128)
chr2_150311498_150312028	MMADHC (-724161), RND3 (+175904)
chr9_124390840_124391240	PSMB7 (+24399), NEK6 (+133077)
chr2_133444505_133444872	LYPD1 (-774484), NCKAP5 (+123771)
chr11_13991957_13992741	SPON1 (+29660), RRAS2 (+366835)
chr4_14719075_14719629	CPEB2 (-283322)
chr1_19752230_19752712	TMCO4 (+47446), HTR6 (+87184)
chr2_168691067_168691682	NOSTRIN (-106776), CERS6 (+235126)
chr3_96299931_96300911	MTRNR2L12 (+317815)
chr9_132474432_132474775	BARHL1 (-107581), CFAP77 (+64380)
chrX_87972150_87972837	CPXCR1 (-774731), KLHL4 (+454680)
chr10_4029534_4030147	AKR1E2 (-796413), KLF6 (-244566)
chr6_88246240_88247069	CNR1 (-80296), RNGTT (+717066)
chr3_134008569_134009159	RAB6B (-113048), SLCO2A1 (+21212)
chr3_149553712_149554333	TM4SF4 (+80049), WWTR1 (+149250)
chr2_132424404_132424986	GPR39 (+8121), LYPD1 (+245510)
chr3_128263713_128264448	EEFSEC (+110627), DNAJB8 (+202887)
chr5_9793600_9793958	TAS2R1 (-163424), FAM173B (+456107)
chr13_98731823_98732322	STK24 (-210075), SLC15A1 (+20581)
chr3_135169549_135170327	PPP2R3A (-795735), EPHB1 (+374676)
chr22_49649604_49650452	BRD1 (+174776)
chr5_58080826_58081620	ACTBL2 (-598414), PLK2 (+379037)
chr21_46025330_46025760	COL6A2 (-72552), COL6A1 (+43808)
chr2_19330685_19331085	NT5C1B-RDH14 (-741323), OSR1 (+27768)
chr4_4655070_4655494	MSX1 (-204384), STX18 (-113254)
chr10_20811330_20811774	NEBL (+86050), PLXDC2 (+995313)
chr17_10979405_10979959	SHISA6 (-261581), PIRT (-141237)
chr2_210544943_210545264	CPS1 (+67395)
chr20_59308348_59309293	PHACTR3 (-295727), EDN3 (+8394)
chr3_140019797_140020659	TRIM42 (-657811), CLSTN2 (+85043)
chr8_102721464_102722296	KLF10 (-65978), AZIN1 (+142857)
chr10_30070237_30070648	JCAD (-10919), MTPAP (+278876)
chr2_217249161_217250443	TNP1 (-389738), TNS1 (+694326)
chrX_106933496_106934190	RIPPLY1 (-30526), MORC4 (+66401)
chr1_245536382_245536948	KIF26B (+381680), SMYD3 (+970592)
chr8_56972831_56973410	PENK (-527091), IMPAD1 (+20723)
chr1_236854236_236855095	MTR (+59356), MT1HL1 (+149752)
chr4_73286945_73287323	ALB (-117105), ANKRD17 (-28349)
chr9_92359577_92359979	CENPP (+34294), OGN (+44781)
chr22_17350138_17350958	ADA2 (-130963), CECR2 (-9401)
chr3_64955001_64955683	ADAMTS9 (-267342)
chr6_121748250_121749424	HSF2 (-650709), GJA1 (+313145)
chr12_127398056_127398546	TMEM132C (-869102)
chr20_4427830_4428471	PRNP (-258085), ADRA1D (-179077)
chr3_131610147_131610631	MRPL3 (-107420), CPNE4 (+427415)
chr5_23729351_23730496	PRDM9 (+222309), CDH10 (+915054)
chr11_30172779_30173230	KCNA4 (-155982), FSHB (-58011)
chr5_168627140_168627940	PANK3 (-47940), SLIT3 (+673242)
chr12_14835016_14835514	SMCO3 (-21083), ART4 (+8230)
chr20_47754127_47754676	SULF2 (+32184), NCOA3 (+252475)
chr3_85864912_85865279	CADM2 (+138614)
chr7_132504726_132505333	PODXL (-948423), PLXNA4 (+72271)
chr4_134772554_134773554	PABPC4L (-571306)
chr12_112891223_112891891	OAS1 (-15226), RPH3A (+99902)
chr11_27277735_27278206	LGR4 (+194775), BBOX1 (+237009)
chr5_36022255_36022914	UGT3A1 (-30987), UGT3A2 (+44306)
chr4_52743438_52744114	USP46 (-84441), ERVMER34-1 (+7864)
chr14_68239822_68240376	RAD51B (+420320), ZFP36L1 (+553141)
chr11_87016361_87017009	FZD4 (-61294), TMEM135 (-21322)
chr8_5096661_5097157	CSMD1 (-101937)
chr6_49336743_49337206	MUT (+126216)
chr16_52649672_52650294	CHD9 (-405050), TOX3 (-102975)
chr12_90023182_90023911	ATP2B1 (-314716), CCER1 (+931629)
chr5_54459935_54460748	SNX18 (-57523), HSPB3 (+4741)
chr22_24206591_24207182	SUSD2 (+25628), GGT5 (+38172)
chr18_50466557_50466977	MAPK4 (-93311), SKA1 (+91772)
chr5_154254963_154255451	SAP30L (-190750), GALNT10 (+64477)
chr4_10587786_10588328	ZNF518B (-130697), CLNK (+96808)
chr19_31027412_31027811	TSHZ3 (+321935), ZNF536 (+655200)
chr14_40163889_40164451	FBXO33 (-731670)
chr8_18262693_18263174	NAT2 (-128311), NAT1 (+46040)
chr12_27226065_27226888	STK38L (-17698), MED21 (+203927)
chr3_139302343_139302820	COPB2 (+87150), MRPS22 (+296776)
chr2_132543040_132543662	GPR39 (+126777), LYPD1 (+126854)
chr1_88830095_88831047	GTF2B (+61047), PKN2 (+146349)
chr14_96246226_96246771	BDKRB1 (-9325), BDKRB2 (+41704)
chr3_31004159_31004710	STT3B (-528355), GADL1 (-109670)
chr6_3719196_3720083	SLC22A23 (-263081), PXDC1 (+32386)
chrY_13878427_13878960	VCY (+107819), TMSB4Y (+175127)
chr4_35108852_35109391	NONE
chr19_38287800_38288393	ENSG00000267748 (-1071)
chr15_52427675_52428514	MYO5C (-132297), MYO5A (+100955)
chr4_151807731_151808412	GATB (-47049), FBXW7 (+728029)
chr3_160907739_160908018	PPM1L (+151671), B3GALNT1 (+197472)
chr13_43153594_43154617	DNAJC15 (+130903), ENOX1 (+632802)
chr9_91164657_91165217	AUH (+196976), SYK (+363150)
chr5_78499503_78499913	SCAMP1 (+139125), LHFPL2 (+149117)
chr9_109793310_109793730	PALM2 (+13081), TXN (+463120)
chr16_66913772_66914183	CDH16 (+5006), PDP2 (+33617)
chr9_81037695_81038353	TLE1 (+651281)
chr20_19964487_19965013	NAA20 (-52366), RIN2 (+78229)
chr15_59478695_59479233	GCNT3 (-132820), MYO1E (-106064)
chr11_44198113_44198900	EXT2 (+102310), ALX4 (+111659)
chr8_89178328_89179171	MMP16 (-851262), RIPK2 (-578997)
chr3_147651199_147651588	ZIC1 (+242010)
chr1_20030127_20030868	PLA2G2A (-50755), PLA2G5 (-39710)
chr20_16308660_16309164	KIF16B (+264521)
chr10_24235352_24235916	KIAA1217 (+26470), ARHGAP21 (+488034)
chr7_69436913_69437405	AUTS2 (-162174)
chr2_140855405_140855865	NONE
chr2_220009594_220010162	SLC4A3 (+382313)
chr17_13204524_13205488	ELAC2 (-186819), HS3ST3A1 (+396921)
chr1_231037751_231038400	TRIM67 (-124894), ARV1 (+59027)
chr1_245614517_245615261	KIF26B (+459904), SMYD3 (+892368)
chr6_77403199_77403759	HTR1B (+60294)
chr18_48729493_48729878	CTIF (+190528), SMAD7 (+221025)
chr8_95936679_95937465	C8orf37 (-667871), GDF6 (+223720)
chr12_105324756_105325183	APPL2 (-88887), NUAK1 (+815063)
chr22_27212630_27213148	MN1 (+588609), CRYBA4 (+590925)
chrX_2440938_2441571	ZBED1 (+59712), ASMT (+826254)
chr10_126321522_126321866	ADAM12 (+66761), FANK1 (+425155)
chr5_123220237_123220992	PRDM6 (+131494), CEP120 (+202688)
chr5_24649649_24650108	CDH10 (-4901)
chr2_47206612_47206961	EPCAM (-162361), CALM2 (-30186)
chr2_79271337_79271867	CTNNA2 (-379950), REG3A (-111849)
chr12_32826919_32827339	YARS2 (-71227), PKP2 (+69627)
chr10_94000712_94001252	PLCE1 (-29830), SLC35G1 (+107009)
chr4_15331993_15332463	C1QTNF7 (-7708), CPEB2 (+329554)
chr2_6109672_6110196	SOX11 (+417267), CMPK2 (+755762)
chr1_59994477_59995198	CYP2J2 (-68048)
chr11_42772775_42773220	API5 (-538991)
chr6_109347417_109348235	CD164 (+34618), CEP57L1 (+252673)
chr3_54046590_54047100	SELENOK (-154857), CACNA2D3 (-75821)
chr17_61517445_61518507	TBX4 (+65558), NACA2 (+73226)
chr12_115079007_115079483	TBX3 (-395655)
chr7_132901113_132901648	PLXNA4 (-324080), CHCHD3 (+180701)
chr5_80701393_80701954	RASGRF2 (-258998), DHFR (-46691)
chr9_71483490_71483886	TRPM3 (-362090), TMEM2 (+285196)
chr20_22717417_22717943	SSTR4 (-317706), FOXA2 (-133217)
chr2_13114144_13114754	TRIB2 (+397560)
chr21_26190065_26190863	APP (-19810), CYYR1 (+382820)
chr13_50509914_50510282	RNASEH2B (-399580), KCNRG (+494844)
chr6_154575248_154576087	SCAF8 (-157710), CNKSR3 (-65009)
chr12_22180931_22181428	CMAS (+135006), ST8SIA1 (+153534)
chr9_135951984_135952415	CAMSAP1 (-44976), UBAC1 (+9180)
chr9_116582379_116583148	TRIM32 (-104538), PAPPA (+428960)
chr8_57721924_57722695	IMPAD1 (-728466), FAM110B (-272244)
chr8_29616235_29616942	DUSP4 (-265921), SARAF (+466618)
chr8_29925924_29927219	DUSP4 (-575904), SARAF (+156635)
chr4_128776715_128777215	PGRMC2 (-488136), JADE1 (-32658)
chr3_43736646_43737346	TOPAZ1 (-504890), ABHD5 (+46126)
chr4_55074413_55074746	KDR (+51009), KIT (+416662)
chr17_9700503_9701387	USP43 (+55408), DHRS7C (+90352)
chr6_168062762_168063314	FRMD1 (+16121), KIF25 (+63946)
chr2_113117628_113118020	IL1RN (-73)
chr1_67827655_67828215	GNG12 (+5532), GADD45A (+142874)
chr9_91572176_91572574	NFIL3 (-148513), ROR2 (+377787)
chr9_120937326_120937874	TRAF1 (-8831), C5 (+112676)
chr9_135543467_135543978	OBP2A (-2416)
chr15_86870785_86871653	AGBL1 (+727497)
chr5_34991735_34992435	AGXT2 (+56008), DNAJC21 (+62492)
chr1_229209648_229210251	TMEM78 (-39686), RHOU (+474873)
chr1_110121157_110121622	SLC6A17 (-29096), UBL4B (+8922)
chr13_64570508_64571273	NONE
chr14_67588154_67588703	PIGH (+11858), PLEKHH1 (+55128)
chr14_61493221_61493646	ENSG00000258989 (-35694), PRKCH (+171717)
chr5_144616467_144617088	KCTD16 (+411501)
chr10_126408966_126409588	ADAM12 (-20822), C10orf90 (+112164)
chrX_30957685_30958053	TAB3 (+17215), GK (+304510)
chr11_38316382_38317026	NONE
chr1_56958060_56959077	C8B (+7446), C8A (+103763)
chr10_3525910_3526342	PITRM1 (-353285), KLF6 (+259149)
chr2_41903373_41903837	PKDCC (-144415)
chr4_186606606_186607038	MTNR1A (-51255), FAT1 (+117033)
chr10_64905950_64906591	NONE
chr13_43445816_43446532	ENOX1 (+340734), DNAJC15 (+422971)
chr2_111663311_111663967	ANAPC1 (+221051), BCL2L11 (+542710)
chr3_24966186_24966784	THRB (-471663), RARB (-461826)
chr11_126410699_126411078	ST3GAL4 (+5107), KIRREL3 (+589870)
chr8_27497252_27498363	EPHX2 (+7029), CLU (+117223)
chr1_119774855_119775393	HMGCS2 (-6230), REG4 (+36456)
chr14_85508402_85509359	FLRT2 (-21263)
chr8_101875333_101876065	NCALD (+249208), GRHL2 (+383267)
chr21_25835463_25836085	ATP5J (-100741), APP (+334880)
chr2_168427253_168427821	STK39 (-179396), CERS6 (-28712)
chr4_175447103_175447644	ADAM29 (+529016), GPM6A (+554958)
chr4_182189514_182189919	TENM3 (-53712)
chr5_35248917_35249615	IL7R (-607583), PRLR (-18677)
chr4_136573274_136574040	PCDH18 (+958818)
chr1_72843866_72844587	NEGR1 (-561493)
chr7_48580724_48581179	ABCA13 (+409492)
chr5_152150742_152151445	GLRA1 (-226258), NMUR2 (+254185)
chr1_69425763_69426762	DEPDC1 (-929149), LRRC7 (-333912)
chr1_59319635_59319978	HOOK1 (-495054), FGGY (+22826)
chr19_36409850_36410279	ZFP14 (-30866), ZFP82 (+8591)
chr1_162094174_162094787	NOS1AP (+24705), SPATA46 (+282389)
chr11_120102574_120103195	NECTIN1 (-373801), TRIM29 (+35568)
chr9_91606160_91606861	NFIL3 (-182649), ROR2 (+343651)
chr2_200042301_200042763	SPATS2L (-266418), TYW5 (-86796)
chr1_59331889_59332600	HOOK1 (-482616), FGGY (+35264)
chr2_41830405_41830972	PKDCC (-217331)
chr2_176848834_176849401	HNRNPA3 (-363445), MTX2 (+579699)
chr5_174555479_174556000	MSX2 (-168793), HGNC:24955 (+510136)
chr15_54998694_54999812	RSL24D1 (+197814), UNC13C (+986349)
chr10_22552984_22553350	PIP4K2A (+161388), SPAG6 (+207697)
chr1_55813690_55814409	USP24 (-598937), PLPP3 (+765518)
chr11_36027732_36028100	LDLRAD3 (+83838), COMMD9 (+261513)
chr21_43273691_43274020	CRYAA (+104848), SIK1 (+153272)
chr20_35011727_35012189	MYH7B (+36555), TRPC4AP (+80913)
chr5_166483327_166484078	NONE
chr13_52348019_52348899	NEK3 (-188924), THSD1 (+57669)
chr2_45911879_45912676	EPAS1 (-385124), PRKCE (+260504)
chr10_128417551_128418252	MKI67 (-291517)
chr8_101454803_101455397	ZNF706 (-249813), GRHL2 (-37332)
chr12_12654883_12655401	GPR19 (+29379), CREBL2 (+43250)
chr6_41284596_41285144	TREM1 (+1849), TREML4 (+56546)
chr4_120769335_120769866	MAD2L1 (-702527), PRDM5 (+153248)
chr12_2336396_2336881	FKBP4 (-458314), CACNA1C (+283076)
chr20_14915440_14915908	FLRT3 (-578066)
chr2_224632891_224633296	CUL3 (-47746), DOCK10 (+409348)
chr7_138257580_138258091	TRIM24 (-202498), AKR1D1 (+181359)
chr1_14436836_14437902	KAZN (-161335), PRDM2 (+732514)
chr1_47804073_47804469	TRABD2B (+192624), FOXD2 (+368254)
chr10_48284697_48285342	MAPK8 (-21619), FRMPD2 (-10150)
chr10_29865665_29866340	SVIL (-231031), JCAD (+193521)
chr1_222369853_222370545	DUSP10 (-628023), HHIPL2 (+177904)
chr14_53174685_53175345	DDHD1 (-21917), BMP4 (+781796)
chr8_19036248_19036787	SH2D4A (-277099), PSD3 (-22832)
chr14_59197844_59198492	DAAM1 (-65287), DACT1 (+559989)
chr12_105888695_105889143	APPL2 (-652836), NUAK1 (+251114)
chr15_39404765_39405208	RASGRP1 (-840181), THBS1 (-176106)
chr2_163120016_163120409	KCNH7 (-281595), FIGN (+615794)
chr16_79330118_79330951	MAF (+270179)
chr7_143060756_143061733	PIP (-70832), OR6V1 (+8925)
chr4_53713340_53714048	LNX1 (-122078), CHIC2 (+350996)
chr2_234801068_234801714	ARL4C (-304791), SH3BP4 (-177294)
chr10_71290193_71290751	SLC29A3 (-28786), UNC5B (+77902)
chr11_28366709_28367404	METTL15 (+258703)
chr4_176548495_176549218	SPCS3 (+228893), VEGFC (+243870)
chr14_49961186_49961812	ARF6 (+68407), VCPKMT (+155058)
chr2_205665438_205665928	NRP2 (-16817)
chr5_68273519_68274256	SLC30A5 (-819758), PIK3R1 (+58168)
chr16_65036393_65037177	CDH11 (+85413)
chr7_11207339_11207850	PHF14 (+233723), THSD7A (+624603)
chr12_114938672_114939406	TBX3 (-255449)
chr8_66989923_66990806	TCF24 (-27775), PPP1R42 (+38186)
chr4_79727725_79728322	GK2 (-319731), ANTXR2 (+344539)
chr11_125300738_125301360	PKNOX2 (+136343), FEZ1 (+195261)
chr3_137376713_137377331	SOX14 (-387262), IL20RB (+419157)
chr16_11109559_11110028	SOCS1 (+146385), CLEC16A (+165306)
chr16_66028696_66029154	CDH11 (-906727), CDH5 (-337705)
chr12_5720211_5720906	ANO2 (+225673), NTF3 (+288446)
chr5_170444317_170444910	KCNIP1 (-59959), KCNMB1 (-54937)
chr10_2278449_2278831	PFKP (-788880), ADARB2 (-541164)
chr2_1882241_1882871	PXDN (-138050), MYT1L (+448638)
chr11_13359590_13360250	BTBD10 (+80359), ARNTL (+82089)
chr10_14386026_14386546	FRMD4A (-55402), CDNF (+451786)
chr6_33875667_33876167	MLN (-71906), GRM4 (+270163)
chr3_194235084_194235600	HES1 (+99197), CPN2 (+115986)
chr4_150336746_150337267	MAB21L2 (-244915), DCLK2 (+257979)
chr12_93879872_93880507	PLXNC1 (-268533), CRADD (+202473)
chr2_103057422_103058387	TMEM182 (+295892)
chr14_72608423_72609153	DPF3 (+283861), RGS6 (+676349)
chr3_8490126_8490570	LMCD1 (-11359)
chr2_69200093_69200656	GFPT1 (+186879), ANTXR1 (+187197)
chr13_22589698_22590222	SGCG (-590992), FGF9 (+918577)
chr8_82820335_82821159	SNX16 (-978461)
chr7_75962939_75963516	TMEM120A (+31346), POR (+48149)
chr4_175035194_175035721	ADAM29 (+117100), GPM6A (+966874)
chr4_173449055_173449697	SCRG1 (-49840), HAND2 (+80853)
chr21_28489025_28489675	N6AMT1 (+396021)
chr5_14292699_14293286	OTULIN (-371755), TRIO (+149291)
chr2_137853616_137854201	HNMT (-110401)
chr15_27717835_27718872	OCA2 (+381004), GABRG3 (+747072)
chrX_7344610_7345677	VCX (-497118), STS (+125688)
chr18_44464388_44465650	SETBP1 (-215879)
chr4_164536871_164537327	APELA (-339905), MARCH1 (-153049)
chr8_94040727_94041103	PDP1 (+123968), CDH17 (+167672)
chr17_21517302_21518412	KCNJ18 (-174666), KCNJ12 (+141660)
chr6_4394851_4395317	CDYL (-381351), ECI2 (-259487)
chr18_10085599_10086230	APCDD1 (-368713), VAPA (+171853)
chr17_35786917_35787421	GAS2L2 (-34291), MMP28 (+8413)
chr7_68697435_68698236	AUTS2 (-901497)
chr12_111740993_111742013	ENSG00000257767 (-12387), ACAD10 (+55427)
chr6_17779932_17780616	NUP153 (-73440), KIF13A (+207295)
chr16_80993326_80993616	CDYL2 (-189142), CMC2 (+13643)
chr20_17009845_17010626	PCSK2 (-216755), OTOR (+261878)
chr6_76077149_76077949	IMPG1 (-4871)
chr3_22732570_22733046	ZNF385D (-981373), UBE2E2 (-470485)
chr11_72984534_72984978	FCHSD2 (+157505), ATG16L2 (+170448)
chr4_19842285_19843203	SLIT2 (-410820)
chr3_69814664_69815390	MITF (+75592)
chr5_174384250_174384764	MSX2 (-340026), HGNC:24955 (+338903)
chr11_109772903_109773322	ZC3H12C (-320248), C11orf87 (+350993)
chr16_78535160_78535619	WWOX (+435977)
chr20_53249523_53250014	TSHZ2 (+277362), ZNF217 (+344070)
chr3_31364927_31365492	GADL1 (-470445), STT3B (-167580)
chr21_26389985_26390602	APP (-219640), CYYR1 (+182990)
chr17_22227727_22228696	MTRNR2L1 (-294899), KCNJ18 (+535689)
chr8_57378970_57379732	FAM110B (-615203), IMPAD1 (-385507)
chr22_33350340_33350981	SYN3 (-292289), LARGE1 (+569760)
chr22_45580586_45581501	ATXN10 (-90755), FBLN1 (+78153)
chr14_71668282_71668842	RGS6 (-263877), SIPA1L1 (+139237)
chr9_85334046_85334501	AGTPBP1 (+407755), NTRK2 (+664496)
chr5_105999008_105999678	NONE
chr3_40602857_40603272	CTNNB1 (-596374), ZNF621 (+78180)
chr10_31063824_31064844	ZEB1 (-254838), ZNF438 (-32397)
chr1_112304220_112304646	KCND3 (-315278), CTTNBP2NL (-91748)
chr2_53527011_53527401	CHAC2 (-240586)
chr4_10866488_10867230	CLNK (-181994), HS3ST1 (+562906)
chr8_56034494_56035324	RPS20 (+39600), LYN (+155096)
chr4_10448609_10449412	WDR1 (-332151), ZNF518B (+8349)
chr8_21744608_21745370	GFRA2 (+43821)
chr20_38604990_38605305	SLC32A1 (-119314), ARHGAP40 (+3214)
chr15_94445638_94446160	MCTP2 (+147633)
chr12_66366997_66367948	HELB (+64928), GRIP1 (+311500)
chr2_203695237_203695917	RAPH1 (-160167), CD28 (-10971)
chr11_95595937_95596702	SESN3 (-365123), FAM76B (+193471)
chr3_8328674_8329535	LMCD1 (-172602)
chr1_219568460_219569221	ZC3H11B (+44304), LYPLAL1 (+394997)
chr4_34814849_34815654	NONE
chr14_65039126_65039431	FNTB (+52559), MAX (+63191)
chr2_12852664_12853282	TRIB2 (+136084)
chr5_136985687_136986286	TRPC7 (-620450), SPOCK1 (+513361)
chrX_54710981_54711513	ITIH6 (+86993), GNL3L (+181036)
chr8_92805194_92805919	RUNX1T1 (-709903), TRIQK (+160588)
chr16_7888447_7889054	TMEM114 (+701087)
chr10_57482210_57483009	IPMK (+785324)
chr5_139997486_139997971	NRG2 (+45565), PSD2 (+201908)
chr2_48632808_48633538	GTF2A1L (+15335), LHCGR (+122520)
chr6_40626989_40627635	LRFN2 (-39847), UNC5CL (+411905)
chr15_52034946_52035361	MAPK6 (+15953), BCL2L10 (+77614)
chrX_13386567_13386986	EGFL6 (-182845), ATXN3L (-66378)
chr1_81424142_81424632	ADGRL2 (+118221)
chr8_80409647_80410364	TPD52 (-329190), ZBTB10 (-75661)
chr17_32833143_32833785	MYO1D (+43713), CDK5R1 (+346845)
chr6_88268492_88269009	CNR1 (-102392), RNGTT (+694970)
chr13_97446513_97446869	IPO5 (-506984), RAP2A (+12469)
chr8_122198207_122198597	ZHX2 (-582992), HAS2 (-557012)
chr3_64815516_64816553	ADAMTS9 (-128035)
chr6_143163523_143163995	AIG1 (+102883), ADAT2 (+286914)
chr5_173800322_173800785	BOD1 (-183894), CPEB4 (-87726)
chr7_108055426_108056032	LAMB1 (-52474), LAMB4 (+74627)
chr6_6271071_6271876	NRN1 (-267430), F13A1 (+49360)
chr6_165571401_165571982	PDE10A (+90377)
chr3_10480761_10481346	SEC13 (-159970), ATP2B2 (+24530)
chr22_21037793_21038454	SLC7A4 (-5566), GGT2 (+189513)
chr18_37890792_37891412	CELF4 (-325065)
chr8_123450861_123451331	WDYHV1 (+34371), FBXO32 (+90110)
chr5_38607528_38608506	OSMR (-237982), LIFR (-12613)
chr1_159860450_159861217	SNHG28 (-5487), VSIG8 (+1823)
chr8_137837305_137837880	FAM135B (+659229)
chr8_21473638_21474538	GFRA2 (+314722)
chr4_156242275_156242727	CTSO (-288584), PDGFC (+728893)
chr12_2514723_2515258	FKBP4 (-279962), CACNA1C (+461428)
chr3_4818795_4820185	BHLHE40 (-159626), ITPR1 (+326142)
chr9_4500889_4501248	PLPP6 (-161246), SLC1A1 (+10625)
chr2_147482022_147482655	ACVR2A (-362178)
chr5_117741686_117742223	NONE
chr1_216841212_216841712	ESRRG (-118009), GPATCH2 (+789620)
chr20_45069157_45069823	KCNS1 (+31622), STK4 (+103016)
chr19_39258281_39258940	IFNL3 (-13605), IFNL2 (-9903)
chr5_135901751_135902301	IL9 (-6199), LECT2 (+53008)
chr2_113240875_113241288	PAX8 (+37839), PSD4 (+67111)
chr1_50139371_50140123	ELAVL4 (+33482), DMRTA2 (+283753)
chr5_102338338_102338850	SLCO4C1 (-42045), SLCO6A1 (+160422)
chr14_69703292_69703810	SRSF5 (-23349), SUSD6 (+91955)
chr10_32077938_32078412	KIF5B (-21744), EPC1 (+269010)
chr5_45252746_45253409	HCN1 (+443256), MRPS30 (+444153)
chr20_50423204_50423563	PTPN1 (-86970), CEBPB (+232650)
chr4_11037960_11038611	CLNK (-353421), HS3ST1 (+391479)
chr1_110174833_110175381	KCNC4 (-36366), SLC6A17 (+24621)
chr11_73521337_73522198	FAM168A (+76421), RELT (+145504)
chr20_8089750_8090102	TMX4 (-70097), PLCB1 (-42339)
chr12_22922945_22923352	ETNK1 (+298074)
chr4_138592617_138593527	NOCT (-422717), SLC7A11 (-350723)
chrX_50968812_50969601	NUDT10 (-363024), BMP15 (+58423)
chr15_27382170_27383130	GABRG3 (+411368), OCA2 (+716708)
chr1_235000505_235000862	IRF2BP2 (-391159), TOMM20 (+128252)
chr10_102763092_102763555	WBP1L (+19354), CYP17A1 (+74209)
chrX_8967287_8968009	FAM9A (-166311), FAM9B (+66479)
chr3_40985179_40985835	CTNNB1 (-213932), ZNF621 (+460622)
chr10_30190723_30191326	JCAD (-131501), MTPAP (+158294)
chr4_136424105_136424440	NONE
chr13_94332910_94333813	DCT (+146320)
chr16_65769173_65769533	CDH11 (-647155), CDH5 (-597277)
chr1_24045952_24047161	SRSF10 (-66238), MYOM3 (+65618)
chr5_56639485_56640249	IL6ST (-644874), MAP3K1 (-175707)
chr18_53639626_53640082	MBD2 (+584934)
chr12_105946409_105946961	APPL2 (-710602), NUAK1 (+193348)
chr6_25416978_25417622	SCGN (-234936), CARMIL1 (+137872)
chr6_4348598_4349038	CDYL (-427617), ECI2 (-213221)
chr9_82454658_82455195	SPATA31D1 (+466155), RASEF (+608201)
chr13_28470335_28470757	FLT1 (+24549), PAN3 (+332040)
chr15_42338441_42339061	CAPN3 (-20836), GANC (+64509)
chr3_45011732_45012537	CLEC3B (-14048), EXOSC7 (+35905)
chr1_233199833_233200745	PCNX2 (+95424), NTPCR (+249665)
chr11_36077935_36078612	LDLRAD3 (+134196), COMMD9 (+211155)
chr8_3079874_3080522	NONE
chr2_142586592_142587101	LRP1B (-455146), KYNU (-290651)
chr2_8955048_8955480	KIDINS220 (-117639), MBOAT2 (+48549)
chr8_30209553_30210146	RBPMS (-174661), DCTN6 (+53553)
chr9_85244757_85245165	AGTPBP1 (+497068), NTRK2 (+575183)
chr2_150026894_150027536	MMADHC (-439613), RND3 (+460452)
