# GREAT version 4.0.4	Species assembly: hg38	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
chr11_19816965_19818286	NAV2 (+104029), DBX1 (+342987)
chr1_221408005_221408871	DUSP10 (+333738), HLX (+529038)
chr6_23684763_23685175	NRSN1 (-441217)
chr3_154921220_154921863	GPR149 (-491827), MME (-158105)
chr5_144093338_144093949	YIPF5 (+77015), HMHB1 (+281483)
chr2_182242330_182242875	PPP1R1C (+256726), PDE1A (+279974)
chr13_28396944_28397415	FLT1 (+97915), PAN3 (+258674)
chr3_143805275_143806226	SLC9A9 (+42780), CHST2 (+686420)
chrX_63408109_63408588	SPIN4 (-57005), ARHGEF9 (+346764)
chr16_61128547_61129235	CDH8 (+907944)
chr16_62547830_62548448	CDH8 (-511304)
chr6_136612805_136613297	MAP7 (-86838), MAP3K5 (+179467)
chr3_144645367_144645753	C3orf58 (+673762)
chr9_37565937_37566412	FBXO10 (+10078), POLR1E (+80240)
chr2_111068020_111068789	BCL2L11 (-52524), ACOXL (+335832)
chr18_64116841_64117223	SERPINB8 (+147107)
chr1_51858574_51859230	NRDC (+19903), OSBPL9 (+241810)
chr4_25045533_25046224	LGI2 (-15000), SEPSECS (+114563)
chr20_3004327_3004930	GNRH2 (-38993), PTPRA (+140445)
chr5_135629210_135629687	SLC25A48 (-205278), CXCL14 (-50170)
chr20_17017315_17017911	PCSK2 (-209378), OTOR (+269255)
chr17_12720064_12720404	ARHGAP44 (-69305), MYOCD (+54245)
chr9_126907124_126907636	RALGPS1 (-7394), ZBTB34 (+28032)
chr9_71363304_71364107	TRPM3 (-242108), TMEM2 (+405178)
chr5_114992051_114992622	TRIM36 (+187822), KCNN2 (+631392)
chr15_25536921_25537493	UBE3A (-98694), ATP10A (+326001)
chr8_96280631_96281167	SDC2 (-212452), PTDSS1 (+19184)
chr8_92017276_92017784	RUNX1T1 (+78124), SLC26A7 (+768223)
chr11_22441804_22442253	SLC17A6 (+103932), FANCF (+184758)
chr12_91523904_91524359	DCN (-341009), BTG1 (+621765)
chr2_77296712_77297136	LRRTM4 (+225415)
chr17_50575732_50576152	ABCC3 (-58915), CACNA1G (+14482)
chr7_148611601_148612041	CUL1 (-87091)
chr7_7897303_7898065	RPA3 (-179077), ICA1 (+364597)
chr3_142855832_142856230	PCOLCE2 (+33172), TRPC1 (+131957)
chr7_80182755_80183210	CD36 (-186592), GNAI1 (+48195)
chr5_73460297_73461417	BTF3 (-37592), FOXD1 (-12330)
chr21_24840149_24840634	MRPL39 (+767125)
chr3_141820616_141821592	ATP1B3 (-55510), GRK7 (+42956)
chr6_105024684_105025163	LIN28B (+67876), BVES (+112250)
chr1_224256746_224257220	NVL (+73404), DEGS1 (+73812)
chr17_71003824_71004444	KCNJ2 (+834599)
chr3_180707824_180708535	FXR1 (-204122), CCDC39 (-28680)
chr10_119000854_119001213	CACUL1 (-245788), NANOS1 (-28682)
chr5_36752007_36752366	NIPBL (-124572), SLC1A3 (+145832)
chr12_18456380_18456719	PIK3C2G (+195010), PLCZ1 (+281507)
chr5_15463314_15463785	ANKH (-591772), FBXL7 (-36646)
chr2_196097064_196097459	DNAH7 (-28450), STK17B (+74313)
chr18_1374503_1375011	ADCYAP1 (+469648)
chr12_38877910_38878610	CPNE8 (+27371), ALG10B (+561682)
chrX_154036232_154036933	IRAK1 (-16603), MECP2 (+61181)
chr16_48318569_48319142	SIAH1 (+47045), LONP2 (+74560)
chr7_158443158_158443703	PTPRN2 (+144248)
chr8_90919547_90920362	C8orf88 (+65302), NECAB1 (+128405)
chr13_41346415_41346924	RGCC (-110889), NAA16 (+35465)
chr5_117748178_117748747	NONE
chr3_28611882_28612851	RBMS3 (-668979), ENSG00000283563 (+263189)
chr6_110859051_110859880	CDK19 (-44150), AMD1 (-15304)
chr3_123405871_123406391	ADCY5 (+43627), SEC22A (+197809)
chr5_43110936_43111439	ANXA2R (-68018), ZNF131 (-10320)
chr6_32234971_32235285	NOTCH4 (-11061), C6orf10 (+136751)
chr11_40645497_40646368	LRRC4C (-351819)
chr3_86624246_86624867	VGLL3 (+366550), CADM2 (+898075)
chr15_26757944_26758763	ATP10A (-895146), GABRB3 (+14720)
chr12_131552071_131552859	SFSWAP (-158672), ADGRD1 (+598029)
chr7_108541580_108542002	DNAJB9 (-27777), PNPLA8 (-15597)
chr7_45563934_45564722	ADCY1 (-10194), RAMP3 (+406537)
chr3_10473748_10474217	SEC13 (-152899), ATP2B2 (+31601)
chr12_15982650_15983224	DERA (+71765), SLC15A5 (+294748)
chr11_62260425_62261298	SCGB2A2 (-9293), SCGB1D2 (+18652)
chr13_106815483_106815945	ARGLU1 (-247550)
chr12_97512408_97513292	NEDD1 (+605384)
chr10_65348528_65349029	NONE
chr3_79245476_79246039	ROBO1 (+522057)
chr16_86723607_86724128	FOXL1 (+145362), FBXO31 (+659889)
chr11_132102411_132103161	NTM (+191324), OPCML (+840885)
chr3_128720626_128721230	RPN1 (-70079), RAB7A (-5194)
chr15_79872358_79873132	MTHFS (+24304), KIAA1024 (+440229)
chr8_130336734_130337161	FAM49B (-397116), ASAP1 (+106712)
chr14_69752603_69753208	SRSF5 (+26006), SLC10A1 (+44383)
chr14_72621295_72621779	DPF3 (+271112), RGS6 (+689098)
chr6_105014293_105014739	LIN28B (+57468), BVES (+122658)
chr16_1295362_1295800	UBE2I (-13299), TPSD1 (+39448)
chr20_22908518_22908964	FOXA2 (-324278), SSTR4 (-126645)
chr4_84954997_84955571	WDFY3 (+11107), CDS1 (+372305)
chr11_131761992_131762480	SNX19 (-845727), NTM (-149226)
chr21_39581303_39581770	B3GALT5 (-76345), SH3BGR (+129707)
chr1_30871188_30871773	LAPTM5 (-113661), SDC3 (+37280)
chr3_131997968_131998446	MRPL3 (-495238), CPNE4 (+39597)
chr4_125911515_125911907	FAT4 (+595312)
chr6_149953506_149955184	ULBP1 (-9662), ULBP2 (+12345)
chr11_57263096_57263938	APLNR (-26316), TNKS1BP1 (+58680)
chr21_22520244_22521168	NONE
chr15_59904293_59905041	BNIP2 (-215133), FOXB1 (-99555)
chr11_16111188_16112142	SOX6 (+364723), INSC (+999241)
chr9_122922632_122923090	ZBTB6 (-9531), ZBTB26 (+8639)
chr2_50196894_50197414	NRXN1 (+835245)
chr1_112007022_112007830	CTTNBP2NL (-388755), KCND3 (-18271)
chr12_1639461_1640012	ADIPOR2 (-51290), WNT5B (+10540)
chr6_21551099_21553361	SOX4 (-40538)
chr19_13461597_13462094	CACNA1A (+44614), IER2 (+309871)
chr15_65618584_65619156	SLC24A1 (-3062)
chr18_47109008_47110004	ELOA2 (-73885), HDHD2 (+41014)
chr6_90274526_90275157	BACH2 (+21900), GJA10 (+380373)
chr10_30522487_30523273	MAP3K8 (+88943), LYZL2 (+106882)
chr1_73930189_73930844	LRRIQ3 (+267670)
chr10_52020663_52021016	CSTF2T (-321249), DKK1 (-293456)
chr18_60980414_60981042	MC4R (-607953), CDH20 (-352854)
chr2_205297303_205297773	NRP2 (-384962), PARD3B (+751745)
chrX_103417144_103417912	BEX3 (+41133), RAB40A (+85347)
chr4_100048734_100049943	H2AFZ (-98951), DDIT4L (+141129)
chr4_107367541_107368136	DKK2 (-331542), PAPSS1 (+352613)
chr8_68094820_68095695	PREX2 (+143140)
chr2_138670351_138671631	NXPH2 (+109357), SPOPL (+169190)
chr6_166076588_166077147	PDE10A (-414799), T (+91751)
chr1_180277894_180278578	LHX4 (+47950), ACBD6 (+224718)
chr5_29237885_29238544	NONE
chr1_85437004_85437504	BCL10 (-160164), DDAH1 (+27886)
chr4_126714925_126716004	INTU (-917467)
chr13_26710096_26710553	GPR12 (+50460), WASF3 (+152575)
chr3_81620928_81621700	GBE1 (+140847)
chr12_128443735_128444363	TMEM132C (+176646), SLC15A4 (+379934)
chr4_175034044_175034419	ADAM29 (+115874), GPM6A (+968100)
chr3_71078975_71079864	FOXP1 (+504569)
chr2_180649501_180650190	CWC22 (-642793), UBE2E3 (-330760)
chr21_26674459_26674835	CYYR1 (-101363), ADAMTS1 (+170762)
chrX_47381961_47382737	ZNF157 (+11766), ZNF41 (+100597)
chr14_49206806_49207211	RPS29 (+379367)
chr1_91012142_91012743	BARHL2 (-295206), ZNF644 (+9812)
chr13_113137564_113138251	PROZ (-20746), F10 (+15090)
chr6_166754370_166754765	MPC1 (-371570), RPS6KA2 (+107943)
chr6_131504394_131505007	ARG1 (-68524), AKAP7 (+369035)
chr4_182257118_182257719	TENM3 (+13990), DCTD (+659960)
chr7_145732725_145733240	TPK1 (-896930), CNTNAP2 (-383376)
chr12_80001414_80001989	OTOGL (-207751), PPP1R12A (-66504)
chr12_43154580_43154934	PRICKLE1 (-564987), ADAMTS20 (+397164)
chr14_73198123_73198642	PAPLN (-39114), PSEN1 (+61936)
chr1_12242351_12242886	VPS13D (+12552), DHRS3 (+375112)
chr12_114046266_114047020	RBM19 (-80337), TBX5 (+361799)
chrX_115639523_115640025	AGTR2 (-530948), PLS3 (+78592)
chr2_203943528_203944231	PARD3B (-601913), ICOS (+7132)
chr17_56891711_56892171	TRIM25 (+22097), DGKE (+57842)
chr9_108676175_108677027	ACTL7B (+180366)
chrX_148426370_148427163	AFF2 (-73852), FMR1NB (+445438)
chr9_97574166_97574985	TSTD2 (+58999), TMOD1 (+72937)
chr3_73175467_73176058	PPP4R2 (+178978), PDZRN3 (+449177)
chr2_211498601_211499411	NONE
chr5_111741187_111741830	STARD4 (-228999), NREP (+235422)
chr2_139872059_139872473	NONE
chr2_229502479_229503293	PID1 (-270801), DNER (+211672)
chr13_66033834_66034277	NONE
chr22_30475092_30475722	SEC14L3 (-3358)
chr19_50245559_50246229	MYH14 (+42249), KCNC3 (+83483)
chr10_9911117_9912127	NONE
chr17_3256449_3257010	OR3A2 (+22244), OR1A1 (+48149)
chr12_121093295_121093946	OASL (-54379), P2RX7 (-39207)
chr2_143577520_143577881	ARHGAP15 (+448387), GTDC1 (+658039)
chr4_17286731_17287232	LDB2 (-388173), QDPR (+225252)
chrY_17235756_17236144	CDY2B (+644268)
chr5_80479693_80480119	FAM151B (-8063), ZFYVE16 (+71893)
chr20_8973923_8974850	PLCB4 (-333413), PLCB1 (+842122)
chr3_103009771_103010340	ZPLD1 (+575041)
chr9_83956568_83957063	C9orf64 (-99)
chr8_142443161_142443695	TSNARE1 (-40188), ADGRB1 (-6002)
chr7_150522527_150523403	GIMAP4 (-44312), GIMAP7 (+8135)
chr16_16940014_16940578	XYLT1 (+530585), NPIPA7 (+561241)
chr18_4242382_4243226	DLGAP1 (+212531), TGIF1 (+791127)
chr20_43444813_43445369	PTPRT (-255122), SRSF6 (-12837)
chr2_15357921_15358495	NBAS (+203122)
chr11_124327491_124327982	OR8D1 (-13788), OR8B2 (+56725)
chr3_88947044_88947436	EPHA3 (-160284), C3orf38 (+797497)
chr16_82874242_82875012	HSBP1 (-933216), CDH13 (+247662)
chr7_36063341_36064402	EEPD1 (-89277), SEPT7 (+262833)
chr7_158000162_158000619	PTPRN2 (+587288), DNAJB6 (+663425)
chr11_88330938_88331334	RAB38 (-155669), CTSC (+6651)
chr8_81409639_81410053	PMP2 (+37677), FABP5 (+129483)
chr12_51915291_51915623	ACVR1B (-36244), ACVRL1 (+8039)
chr4_128640871_128641439	PGRMC2 (-352326), JADE1 (-168468)
chr15_62953109_62953531	TPM1 (-89365), TLN2 (+391955)
chr3_151399524_151400088	P2RY12 (-14994), IGSF10 (+58903)
chr9_22969482_22970198	DMRTA1 (+522999), ELAVL2 (+856225)
chr7_118858669_118859160	ANKRD7 (+634239)
chr7_67916621_67917636	TYW1 (+920314)
chr3_71282913_71283508	FOXP1 (+300778)
chr4_151538123_151538746	GATB (+222588), PRSS48 (+261264)
chr6_75233090_75233466	COL12A1 (-27227), COX7A2 (+17045)
chr5_19865334_19865871	CDH18 (+710270)
chr17_67649758_67650741	NOL11 (-67583), PITPNC1 (+272095)
chr7_18550549_18550928	HDAC9 (+54436), TWIST1 (+566933)
chr3_179404457_179404814	GNB4 (+46954), MFN1 (+56944)
chr5_141155677_141155996	PCDHB7 (-16782), PCDHB6 (+5815)
chr5_164189401_164189878	MAT2B (+684092)
chr2_161321813_161322442	TBR1 (-93966), PSMD14 (+14090)
chr10_72126301_72127068	ANAPC16 (-89315), SPOCK2 (-37912)
chr10_7813127_7813675	TAF3 (-5103), ATP5C1 (+25272)
chr2_48888192_48889023	ENSG00000279956 (-132884), FSHR (+265929)
chr3_50890830_50891339	MANF (-493962), DOCK3 (+215844)
chr2_180196443_180196871	UBE2E3 (-783949), CWC22 (-189604)
chr11_93348997_93349414	DEUP1 (+18489), SMCO4 (+194302)
chr6_4844033_4844517	CDYL (+67840), RPP40 (+159772)
chr1_77025944_77026588	ST6GALNAC5 (+158825), PIGK (+193160)
chr5_96951032_96951529	LNPEP (+15817), LIX1 (+191591)
chr3_187112879_187113360	RPL39L (+26403), ST6GAL1 (+182635)
chr3_191253383_191253760	CCDC50 (-75513), OSTN (+41039)
chr20_43295799_43296529	SRSF6 (-161764), PTPRT (-106195)
chr14_49931525_49932239	ARF6 (+38790), VCPKMT (+184675)
chr8_140962448_140963180	AGO2 (-327195), PTK2 (+38344)
chr4_136796676_136797584	PCDH18 (+735345)
chr5_123430433_123431343	CSNK1G3 (-114746), CEP120 (-7585)
chrX_78024593_78025053	PGK1 (-79351), PGAM4 (-55185)
chr3_129038287_129038780	GP9 (-22233), EFCC1 (+36905)
chr7_32527950_32528306	AVL9 (+32639), KBTBD2 (+363769)
chr10_83582483_83582976	GHITM (-556710)
chr3_162605668_162606155	NONE
chr3_23479981_23480614	UBE2E1 (-325605), UBE2E2 (+277005)
chr11_29959289_29959973	KCNA4 (+57392)
chr5_126824_127115	PLEKHG4B (-13288)
chr20_63404026_63404655	CHRNA4 (-42998), KCNQ2 (+68249)
chr20_39534777_39535397	DHX35 (+572752)
chr4_134529623_134530089	PABPC4L (-328108)
chr2_123808216_123808662	CNTNAP5 (-216848)
chr5_16702975_16703684	RETREG1 (-86272), MYO10 (+232933)
chr19_23345778_23346302	ENSG00000283201 (-71819), ZNF91 (+49520)
chr1_236659888_236660237	HEATR1 (-55559), ACTN2 (-26391)
chr20_20077825_20078375	INSM1 (-290021), CRNKL1 (-22054)
chr2_206840935_206841359	CPO (-98407), MDH1B (-75600)
chr4_5218473_5219002	STK32B (+167296), EVC2 (+489829)
chr14_50299655_50300085	SOS2 (-68312), L2HGDH (+12678)
chr12_119266865_119267422	CCDC60 (-67568), HSPB8 (+88502)
chrX_2800019_2800558	GYG2 (-28533), XG (+48237)
chr1_72547220_72547783	NEGR1 (-264768)
chrX_87688461_87688989	KLHL4 (+170911)
chr22_20926111_20926685	AIFM3 (-38710), CRKL (+8972)
chr2_174924215_174924593	CHRNA1 (-159943), CHN1 (+80822)
chr10_59015863_59016369	PHYHIPL (-160474), BICC1 (+502976)
chr12_18153868_18154327	PIK3C2G (-107442), RERGL (-63905)
chr1_94666873_94667925	SLC44A3 (-152951), F3 (-125599)
chr3_83901349_83902086	NONE
chr10_4944500_4945387	AKR1C1 (-18309), AKR1E2 (+118690)
chr9_105389747_105390187	FSD1L (-58135), SLC44A1 (+145345)
chr12_21595199_21595806	GYS2 (+9344), SPX (+69196)
chr8_100017867_100018256	COX6C (-124000), RGS22 (+88054)
chr12_128728686_128729390	SLC15A4 (+94945), TMEM132C (+461635)
chr7_94011631_94012426	COL1A2 (-382532), BET1 (-7654)
chr1_78796831_78797602	IFI44 (+147386), ADGRL4 (+209501)
chr5_127330795_127331337	PRRC1 (-186590), MEGF10 (+40207)
chr3_37898983_37899545	VILL (-88795), CTDSPL (+37090)
chr7_111851939_111852566	IMMP2L (-289962), DOCK4 (+354142)
chr5_87755291_87755682	CCNH (-342468), TMEM161B (+513343)
chr4_71752133_71752609	GC (+51670), SLC4A4 (+565085)
chr9_3262802_3263456	PUM3 (-418888), RFX3 (+262854)
chr12_19515313_19515972	PDE3A (-853602), AEBP2 (+75969)
chr18_66931076_66931575	CDH19 (-327192), DSEL (+585654)
chr2_12116111_12116802	TRIB2 (-600432), LPIN1 (+438862)
chr14_26565035_26565456	NOVA1 (+32508)
chr16_78478359_78478752	WWOX (+379143)
chr15_24966367_24967576	SNURF (+11986), UBE3A (+471541)
chr18_43710178_43710651	SETBP1 (-970483), SYT4 (-432765)
chr15_25790524_25791293	UBE3A (-352396), ATP10A (+72299)
chr1_52571747_52572193	GPX7 (-30402), ZCCHC11 (-18988)
chr5_169279017_169279483	PANK3 (-699650), SLIT3 (+21532)
chr7_28125421_28126119	JAZF1 (+54973), TAX1BP1 (+385581)
chr10_95409376_95410150	PDLIM1 (-118739), SORBS1 (+151615)
chr10_63664643_63665757	REEP3 (+143837)
chr1_223374131_223374557	CCDC185 (-19073), SUSD4 (-10285)
chr2_62349635_62350188	B3GNT2 (+153799), TMEM17 (+156429)
chr9_115093457_115094406	TNFSF8 (-163515), TNC (+24325)
chr4_134683062_134683905	PABPC4L (-481736)
chr6_16324822_16325311	GMPR (+86487), ATXN1 (+436389)
chr7_78969004_78969462	MAGI2 (+484341)
chr8_37085086_37086025	ZNF703 (-610195), KCNU1 (+301182)
chr2_107717618_107718101	ST6GAL2 (-831214), RGPD4 (-109077)
chr7_124810595_124810932	GPR37 (-45137), POT1 (+119217)
chr3_137778959_137779475	CLDN18 (-230783), SOX14 (+14933)
chr5_54324746_54325220	HSPB3 (-130618), ARL15 (-14410)
chrX_97514723_97515557	RPA4 (+631232)
chr1_213260311_213261100	PROX1 (-727237), RPS6KC1 (+209451)
chr18_34480249_34480742	NOL4 (-256945), DTNA (-112843)
chr10_106889227_106889873	SORCS1 (+274984)
chr15_86935514_86936264	AGBL1 (+792167)
chr10_111095780_111096352	ADRA2A (+18903)
chr1_242164480_242165136	MAP1LC3C (-165735), PLD5 (+359710)
chr4_8653272_8653909	CPZ (+60931), HMX1 (+218226)
chr14_60789972_60790659	SLC38A6 (-190798), MNAT1 (+55554)
chr3_135171784_135172743	PPP2R3A (-793409), EPHB1 (+377002)
chr11_99884855_99885312	ARHGAP42 (-802592), CNTN5 (+863894)
chr6_14002419_14003079	CD83 (-114892), RNF182 (+77882)
chr15_81381624_81382172	TMC3 (-7685), MEX3B (+664243)
chr16_8249792_8250406	TMEM114 (+339739)
chr17_3386130_3386740	OR3A1 (-88075), OR1E1 (+11975)
chr12_68487688_68488318	MDM1 (-155671), RAP1B (-122836)
chr6_93123581_93124266	EPHA7 (+295602)
chr3_129067942_129068809	GP9 (+7609), RAB43 (+53414)
chr2_24755083_24755735	CENPO (-37736), NCOA1 (+263477)
chr10_98223589_98224214	LOXL4 (+44348), R3HCC1L (+60615)
chr17_49276594_49277145	PHOSPHO1 (-46104), ZNF652 (+85603)
chr5_42224750_42225575	GHR (-199289), FBXO4 (+299909)
chr8_136530375_136530983	NONE
chr16_63652117_63652490	NONE
chr14_33908670_33909174	EGLN3 (+42159), NPAS3 (+969605)
chr10_35003756_35004551	PARD3 (-188833), CUL2 (+70134)
chr1_80157854_80158215	NONE
chr13_20017095_20017366	ZMYM2 (+58561), GJA3 (+143818)
chr5_63323746_63324317	HTR1A (+638101), LRRC70 (+745297)
chr8_61912659_61913079	NKAIN3 (-336073), ASPH (-198310)
chr18_10657969_10658673	NAPG (+132287), PIEZO2 (+490267)
chr1_63304592_63305492	FOXD3 (-17999), ATG4C (+520907)
chr10_50572057_50572533	ASAH2 (-323685), SGMS1 (+51688)
chr12_100741266_100741657	ANO4 (-53496), GAS2L3 (+167751)
chr4_20618419_20619086	PACRGL (-81660), SLIT2 (+365189)
chr14_61300624_61301129	PRKCH (-20840), TMEM30B (-19037)
chr19_15022771_15023209	CASP14 (-26394), CCDC105 (+12246)
chr1_235601106_235601609	B3GALNT2 (-96877), GNG4 (+48635)
chr4_30525653_30526259	PCDH7 (-194897)
chr7_147145259_147145666	NONE
chr22_27004541_27004989	CRYBA4 (+382801), MN1 (+796733)
chr15_36802629_36803778	MEIS2 (+296681)
chr13_34935475_34936147	NBEA (-6476)
chrX_34868382_34869135	TMEM47 (-211471)
chrX_110245108_110245641	AMMECR1 (+72864), TMEM164 (+242280)
chr5_119165726_119166779	TNFAIP8 (-166922), DMXL1 (+94864)
chrX_127137960_127138565	DCAF12L1 (-585412), ACTRT1 (+914135)
chr5_45567262_45567725	HCN1 (+128840), MRPS30 (+758569)
chr3_120495674_120496237	NDUFB4 (-100353), FSTL1 (-44703)
chr12_99109009_99109422	FAM71C (-538537), APAF1 (+464075)
chr5_102794774_102795214	SLCO6A1 (-295978), PAM (-71016)
chr6_56522106_56522598	COL21A1 (-274606), DST (+329564)
chr18_5673572_5674060	EPB41L3 (-129574), TMEM200C (+222139)
chr16_63978019_63978947	NONE
chr9_73163082_73163681	ANXA1 (+5728)
chr1_103272895_103273610	RNPC3 (-252446), COL11A1 (-164762)
chr12_12921999_12922589	GPRC5D (+28090), GPRC5A (+31512)
chr9_95193167_95193827	FANCC (+124205), C9orf3 (+433848)
chr7_138072806_138073296	AKR1D1 (-3426)
chr9_79240729_79241182	TLE4 (-331659), PSAT1 (+943813)
chr14_33800913_33801493	EGLN3 (+149878), NPAS3 (+861886)
chr4_92463825_92464325	GRID2 (+160453)
chr12_79710858_79711708	PAWR (-20186), PPP1R12A (+223915)
chr13_44211358_44211961	SERP2 (-162182), SMIM2 (-50403)
chr4_151511405_151512072	PRSS48 (+234568), GATB (+249284)
chr11_115902934_115903402	CADM1 (-398603), BUD13 (+869820)
chr3_137150791_137151300	SOX14 (-613238), IL20RB (+193181)
chrX_103761062_103762117	GLRA4 (-32966), PLP1 (-14921)
chr2_17340858_17341699	FAM49A (-675445), RAD51AP2 (+177160)
chr9_116213088_116213503	TRIM32 (-474006), PAPPA (+59492)
chr6_73398505_73398913	DDX43 (+3961), MB21D1 (+53567)
chr13_20055102_20055552	ZMYM2 (+96657), GJA3 (+105722)
chr3_168618962_168619499	GOLIM4 (-523256), MECOM (+527074)
chr8_88875959_88876528	RIPK2 (-881503), MMP16 (-548756)
chr12_97785012_97785369	TMPO (-730439), NEDD1 (+877725)
chr12_111193382_111194178	CUX2 (+159756), FAM109A (+175341)
chr10_109439484_109440386	XPNPEP1 (+483618)
chr2_127201541_127201893	BIN1 (-94362), CYP27C1 (+4050)
chr11_80990280_80990696	NONE
chr17_71304599_71305132	SOX9 (-816154)
chr3_136698317_136699057	STAG1 (+53681), PCCB (+448328)
chr7_49014662_49015250	VWC2 (-758705), ABCA13 (+843496)
chr2_187424188_187424537	ZSWIM2 (-575193), CALCRL (+24097)
chr3_154062517_154062961	ARHGEF26 (-58264), RAP2B (+900469)
chr14_93804468_93805067	PRIMA1 (-16287), ASB2 (+172023)
chr17_34912964_34913487	CCT6B (+48283), TMEM132E (+332217)
chr2_69777206_69777864	GMCL1 (-52107), ANXA4 (+35561)
chr20_61422691_61423284	CDH4 (+170562), TAF4 (+642822)
chr4_56759173_56759621	HOPX (-77691), SPINK2 (+62345)
chr5_136718011_136718333	TRPC7 (-352635), SPOCK1 (+781176)
chr6_87249726_87250391	SMIM8 (-72529), ZNF292 (+94510)
chr18_49363726_49364334	SMAD7 (-413319), DYM (+96772)
chrX_47961950_47962437	ZNF182 (+41784), ZNF81 (+125292)
chr7_17878753_17879293	SNX13 (+61471), ENSG00000283321 (+579728)
chr20_52430807_52431152	TSHZ2 (-541427), ZFP64 (-238994)
chr6_170057920_170059172	DLL1 (+231927), ERMARD (+306921)
chr10_70488845_70489589	PALD1 (+10396), PRF1 (+113558)
chr1_216772017_216772410	ESRRG (-48761), GPATCH2 (+858868)
chr14_65664399_65665033	GPHN (-842691), FUT8 (+254124)
chrX_41237602_41238300	DDX3X (-95447), USP9X (+152316)
chr2_205290381_205290692	NRP2 (-391963), PARD3B (+744744)
chr3_97360877_97361239	ARL6 (-403470), EPHA6 (+546472)
chr5_2505121_2505573	IRX4 (-618363), IRX2 (+246315)
chr12_74408564_74409161	ATXN7L3B (-128964)
chr20_31936431_31936880	PDRG1 (+15436), TTLL9 (+65529)
chr9_100670021_100670436	PLPPR1 (-358480), CAVIN4 (+92150)
chr3_121732976_121733450	HCLS1 (-72302), GOLGB1 (+16527)
chrX_130738563_130739198	ENOX2 (+164436), RBMX2 (+336912)
chr14_82950997_82951847	NONE
chr1_28414743_28415594	PHACTR4 (-23002), MED18 (+86131)
chr5_164255571_164256060	MAT2B (+750268)
chr12_29071104_29071471	FAR2 (-77912), CCDC91 (+880842)
chr12_13777480_13777934	GRIN2B (+202656), EMP1 (+580991)
chr18_4399790_4400488	DLGAP1 (+55196), TGIF1 (+948462)
chr16_70478814_70479189	FUK (+24581), COG4 (+44563)
chr8_128958048_128958417	GSDMC (+828655)
chr3_129114576_129115210	RAB43 (+6897), GP9 (+54126)
chr10_52903603_52903988	MBL2 (-132096)
chr21_33883726_33884411	ATP5O (+31911), ITSN1 (+241611)
chr2_71250792_71251387	ZNF638 (-80674), PAIP2B (-24007)
chr7_84110181_84110707	SEMA3E (-461434), SEMA3A (+84457)
chr10_84162897_84163451	C10orf99 (-10564), GHITM (+23734)
chr5_99169182_99169773	CHD1 (-240521)
chr9_72952974_72953402	ALDH1A1 (-133)
chr16_58471405_58471959	SETD6 (-43806), NDRG4 (+7658)
chr3_139668174_139669004	RBP1 (-128760), NMNAT3 (+9357)
chr20_47522559_47522912	NCOA3 (+20809), SULF2 (+263850)
chr5_156421611_156422162	PPP1R2P3 (-428651), SGCD (+95130)
chr18_40327033_40327473	NONE
chr1_235628540_235628989	B3GALNT2 (-124284), GNG4 (+21228)
chr13_31452492_31452959	RXFP2 (-286816), B3GLCT (+252790)
chr12_69948870_69949569	CNOT2 (-293774), MYRFL (+123916)
chr13_91220785_91221226	GPC5 (-177601)
chr14_50091771_50092381	VCPKMT (+24481), ARF6 (+198984)
chrX_107669287_107669660	NCBP2L (-105425), PRPS1 (+40967)
chr4_8495870_8496186	GPR78 (-84538), TRMT44 (+55205)
chr18_63783091_63784106	SERPINB2 (-104106), SERPINB7 (+8189)
chr3_116697003_116697794	LSAMP (-251868)
chr9_11874324_11874739	TYRP1 (-818903)
chr4_58495484_58495970	NONE
chr6_24586152_24586591	KIAA0319 (+59783), ALDH5A1 (+91403)
chr1_116397455_116398261	ATP1A1 (+23991), CD58 (+173181)
chr2_162327190_162327850	GCA (-16568), IFIH1 (-8817)
chr11_6069740_6070659	OR56A1 (-42459), OR56B4 (-37484)
chr1_114854862_114855471	SYCP1 (+364)
chr8_114246133_114247480	CSMD3 (-809708)
chr7_35671010_35671524	TBX20 (-417120), HERPUD2 (+23868)
chr8_80563621_80564060	ZBTB10 (+78174), ZNF704 (+310940)
chr1_174900226_174900741	CACYBP (-99249), GPR52 (+452373)
chr7_123431144_123431739	SLC13A1 (-231456), IQUB (+101506)
chr1_183586973_183587349	NCF2 (+3420), SMG7 (+114658)
chr6_4426805_4427340	CDYL (-349362), ECI2 (-291476)
chr7_45560111_45560717	ADCY1 (-14108), RAMP3 (+402623)
chr4_31974450_31974929	NONE
chr15_36285816_36286758	DPH6 (-740119), MEIS2 (+813598)
chr16_75921367_75921727	CNTNAP4 (-355731), ENSG00000283755 (-195105)
chr7_120959126_120959611	CPED1 (-29308), ING3 (+8620)
chr3_96779495_96780170	MTRNR2L12 (-161597), EPHA6 (-34753)
chr18_14178514_14179462	ANKRD30B (-569252), ZNF519 (-46558)
chrY_13664099_13664788	UTY (-183774), TMSB4Y (-39123)
chr16_52798991_52799576	CHD9 (-255749), TOX3 (-252276)
chr4_101021895_101022475	EMCN (-504092), PPP3CA (+325295)
chr11_76819212_76819759	ACER3 (-41387), TSKU (+27734)
chr13_110797411_110797862	ING1 (+82655), ANKRD10 (+117432)
